"Agency Name","Agency Profile URL","Agency Website URL","Rating (Max 5)","Number of Reviews","Phone Number","Agency Class"
"Andavo Travel","https://hostagencyreviews.com/hosts/andavo-travel","https://www.andavotravel.com/host-agency-services/","4.92","60","+18663277600","First Class"
"Avoya Travel","https://hostagencyreviews.com/hosts/avoya-travel","https://www.AvoyaNetwork.com/?ref=28319","4.71","413","+18883204675","First Class"
"Cruise Planners","https://hostagencyreviews.com/hosts/cruise-planners","https://www.cruiseplannersfranchise.com/?utm_source=host_agency_review&utm_medium=profile_page","4.93","87","+18885822150","First Class"
"Fora Travel","https://hostagencyreviews.com/hosts/fora-travel","https://www.foratravel.com/join","4.9","115","+18444093672","First Class"
"Gifted Travel Network","https://hostagencyreviews.com/hosts/gifted-travel-network","https://www.giftedtravelnetwork.com","4.94","186","+17045857732","First Class"
"Global Travel Collection","https://hostagencyreviews.com/hosts/global-travel-collection","https://globaltravelcollection.com","4.88","25","+13105949900","First Class"
"KHM Travel Group","https://hostagencyreviews.com/hosts/khm-travel","https://khmtravel.com/","4.75","148","+18886111220","First Class"
"Montecito Village Travel","https://hostagencyreviews.com/hosts/montecito-village-travel","https://join.montecitovillagetravel.com/","4.88","32","+18054562545","First Class"
"Nexion Travel Group","https://hostagencyreviews.com/hosts/nexion","https://nexion.com/?utm_source=HostAgencyReviews&utm_medium=Profile&utm_campaign=HostAgencyReviews_Profile&utm_content=HAR_Profile","4.84","169","+18007476813","First Class"
"Outside Agents","https://hostagencyreviews.com/hosts/outside-agents-com","https://outsideagents.com/","4.86","506","+18662085604","First Class"
"PTN Travel","https://hostagencyreviews.com/hosts/ptn-travel","https://ptntravel.com/","4.75","53","+19729518000","First Class"
"Travel Planners International","https://hostagencyreviews.com/hosts/travel-planners-international","https://www.travelplannersinternational.com/","4.78","200","+18007306392","First Class"
"Uniglobe Travel Center","https://hostagencyreviews.com/hosts/uniglobe-travel-center","https://uniglobetravelcenter.com/contact","4.94","87","+18008631606","First Class"
"WorldVia Travel Network","https://hostagencyreviews.com/hosts/worldvia-travel-network","https://www.worldviatravelnetwork.com/","4.9","166","+18558467821","First Class"
